Wall time,Step,Value
1521748950.507559,8920,0.32272955775260925
1521748970.3692706,8980,0.31653356552124023
1521748990.3498936,9040,0.29630112648010254
1521749029.8038108,9160,0.31559139490127563
1521749036.3230555,9180,0.23603463172912598
1521749042.8703485,9200,0.27713721990585327
1521749049.3875823,9220,0.32059019804000854
1521749055.9017925,9240,0.30004414916038513
1521749068.930264,9280,0.3297451436519623
1521749075.4705553,9300,0.3340631425380707
1521749082.0098293,9320,0.2579176127910614
1521749095.048306,9360,0.2678203284740448
1521749101.594603,9380,0.351489394903183
1521749108.111818,9400,0.2821272015571594
1521749121.1372845,9440,0.2620544135570526
1521749134.2113693,9480,0.26654261350631714
1521749140.747645,9500,0.27892178297042847
1521749166.934838,9580,0.29626163840293884
1521749212.9461207,9720,0.2849443554878235
1521749232.6849158,9780,0.3217281401157379
1521749239.2702765,9800,0.2921777665615082
1521749252.4721243,9840,0.34567686915397644
1521749265.5116029,9880,0.3425825834274292
1521749285.089368,9940,0.4170483350753784
1521749335.633658,10080,0.3452509045600891
1521749361.7126322,10160,0.3077007830142975
1521749381.2793663,10220,0.3157571256160736
1521749387.7895849,10240,0.2699947953224182
1521749394.3138335,10260,0.2679142355918884
1521749407.3574011,10300,0.29517796635627747
1521749420.3803074,10340,0.27401307225227356
1521749426.889531,10360,0.26921141147613525
1521749439.9440334,10400,0.2481323480606079
1521749472.5398314,10500,0.3255699872970581
1521749479.058074,10520,0.30784106254577637
1521749518.2015574,10640,0.32647719979286194
1521749531.2310119,10680,0.31462883949279785
1521749537.759272,10700,0.29065629839897156
1521749544.2775078,10720,0.293190598487854
1521749550.7997527,10740,0.3192482590675354
1521749557.3219974,10760,0.3120890259742737
1521749563.8755214,10780,0.35421401262283325
1521749570.48195,10800,0.34514516592025757
1521749577.10214,10820,0.35170793533325195
1521749583.647435,10840,0.2964528501033783
1521749590.1637082,10860,0.3368915021419525
1521749603.2934,10900,0.34279242157936096
1521749622.9342525,10960,0.31007540225982666
1521749629.4584994,10980,0.28561416268348694
1521749635.9787579,11000,0.3144870400428772
1521749649.0072126,11040,0.24467678368091583
1521749675.0961745,11120,0.33529791235923767
1521749688.2520313,11160,0.25206318497657776
1521749701.3135738,11200,0.3306466341018677
1521749707.82279,11220,0.33151763677597046
1521749727.3704827,11280,0.29330188035964966
1521749733.8977363,11300,0.2910875678062439
1521749740.4099612,11320,0.30805033445358276
1521749753.4374201,11360,0.2991091012954712
1521749766.476892,11400,0.29802775382995605
1521749779.5083528,11440,0.34866172075271606
1521749792.534803,11480,0.3072173297405243
1521749799.0460062,11500,0.3225288987159729
1521749818.586686,11560,0.2953258454799652
1521749831.6361842,11600,0.33835849165916443
1521749838.1534352,11620,0.29121536016464233
1521749844.6636534,11640,0.2880280613899231
1521749851.1869004,11660,0.3342699408531189
1521749857.7041342,11680,0.32424062490463257
1521749864.2123551,11700,0.3013331890106201
1521749877.2508247,11740,0.2917430102825165
1521749883.7730694,11760,0.3254539370536804
1521749916.352223,11860,0.2930339276790619
1521749922.8684547,11880,0.32963213324546814
1521749935.9269748,11920,0.33923226594924927
1521749942.4502213,11940,0.29665425419807434
1521749948.9924936,11960,0.26763224601745605
1521749955.5412261,11980,0.3443785607814789
1521749973.774318,12020,0.3468559980392456
1521749987.0022242,12060,0.2921290695667267
1521750000.1569564,12100,0.3109883666038513
1521750013.2108595,12140,0.3026549518108368
1521750026.266826,12180,0.26821184158325195
1521750039.3117626,12220,0.2978282868862152
1521750045.814094,12240,0.30780935287475586
1521750052.3152382,12260,0.33835798501968384
1521750071.8618524,12320,0.2898961901664734
1521750097.907737,12400,0.2958589792251587
1521750104.4129453,12420,0.31520605087280273
1521750117.4193513,12460,0.3868577480316162
1521750123.9415963,12480,0.32012999057769775
1521750136.9640374,12520,0.3929038345813751
1521750163.0789554,12600,0.29629674553871155
1521750169.647097,12620,0.3161517083644867
1521750182.8699574,12660,0.3502941429615021
1521750196.084381,12700,0.3046068251132965
1521750242.0798383,12840,0.3483075797557831
1521750248.5860484,12860,0.3061005771160126
1521750261.6064854,12900,0.33506977558135986
1521750268.1783612,12920,0.32098454236984253
1521750274.749713,12940,0.3192703127861023
1521750281.3210468,12960,0.33076879382133484
1521750287.918969,12980,0.32817113399505615
1521750294.5289845,13000,0.36554843187332153
1521750307.626573,13040,0.3439951539039612
1521750314.218988,13060,0.3355717957019806
1521750340.932312,13140,0.27675020694732666
1521750347.5487633,13160,0.3009029030799866
1521750360.7425966,13200,0.3609026372432709
1521750373.8878775,13240,0.30620521306991577
1521750393.6501496,13300,0.3195020258426666
1521750406.6537445,13340,0.33689823746681213
1521750413.1559432,13360,0.34074097871780396
1521750419.774865,13380,0.28448280692100525
1521750439.391726,13440,0.3162515163421631
1521750445.921988,13460,0.3373563885688782
1521750452.4342108,13480,0.34926268458366394
1521750458.9464316,13500,0.2612259089946747
1521750465.45265,13520,0.3185563385486603
1521750478.4790938,13560,0.3306761682033539
1521750484.983299,13580,0.3151373863220215
1521750491.4995308,13600,0.3035613000392914
1521750504.5029302,13640,0.34215378761291504
1521750511.0081444,13660,0.3469691276550293
1521750517.5303824,13680,0.3240334987640381
1521750524.037594,13700,0.3209768533706665
1521750530.5397952,13720,0.339193731546402
1521750537.0500138,13740,0.32659998536109924
1521750550.0594332,13780,0.3157604932785034
1521750556.56263,13800,0.3426092863082886
1521750576.1103218,13860,0.32207727432250977
1521750602.1593692,13940,0.3617665767669678
1521750621.6971672,14000,0.30852210521698
1521750633.0116699,14020,0.36623939871788025
1521750639.5118825,14040,0.34873202443122864
1521750646.0270956,14060,0.3965396583080292
1521750652.5282943,14080,0.34604623913764954
1521750659.066572,14100,0.38802099227905273
1521750665.6268814,14120,0.32068631052970886
1521750672.2232885,14140,0.3143604099750519
1521750685.436164,14180,0.41348010301589966
1521750691.9834447,14200,0.3004492521286011
1521750698.4936635,14220,0.3311985433101654
1521750724.5658395,14300,0.3398912250995636
1521750750.8137088,14380,0.4084242582321167
1521750757.4181309,14400,0.3269040584564209
1521750770.694101,14440,0.3258625566959381
1521750777.364674,14460,0.3500398099422455
1521750783.9446237,14480,0.3322584927082062
1521750790.6502693,14500,0.3478110432624817
1521750797.3789465,14520,0.3228585422039032
1521750804.1146588,14540,0.3664172887802124
1521750823.9692929,14600,0.32205164432525635
1521750830.4817438,14620,0.33034640550613403
1521750837.1473017,14640,0.3154723644256592
1521750869.7846003,14740,0.39676833152770996
1521750882.811032,14780,0.3399425745010376
1521750889.3242574,14800,0.37976473569869995
1521750895.8354778,14820,0.34746500849723816
1521750902.3507075,14840,0.34752294421195984
1521750915.3631265,14880,0.3633256256580353
1521750934.8908005,14940,0.31730911135673523
1521750941.4300568,14960,0.36598876118659973
1521750960.9627163,15020,0.3418631851673126
1521750967.4819543,15040,0.2898712158203125
1521750973.995279,15060,0.32736366987228394
1521750987.0025878,15100,0.30979567766189575
1521751000.032045,15140,0.2918480634689331
1521751019.604001,15200,0.33703067898750305
1521751026.1332612,15220,0.33490511775016785
1521751039.157725,15260,0.32117053866386414
1521751058.7084062,15320,0.3338457942008972
1521751065.2537012,15340,0.3388652503490448
1521751071.7570574,15360,0.3332585096359253
1521751084.7833726,15400,0.3303869664669037
1521751091.2965791,15420,0.3480769693851471
1521751097.8007843,15440,0.3490765690803528
1521751104.299979,15460,0.33729490637779236
1521751110.808193,15480,0.33682873845100403
1521751117.326447,15500,0.3339373469352722
1521751123.8316362,15520,0.3536776006221771
1521751130.3468654,15540,0.2823929190635681
1521751149.9184709,15600,0.3931924104690552
1521751156.4306934,15620,0.37380456924438477
1521751182.468561,15700,0.35523611307144165
